Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMC,BA,BTC-USD,EURUSD=X,GC=F,MSFT,USDEUR=X,AMC,BA,BTC-USD,EURUSD=X,GC=F,MSFT,USDEUR=X,AMC,BA,BTC-USD,EURUSD=X,GC=F,MSFT,USDEUR=X,AMC,BA,BTC-USD,EURUSD=X,GC=F,MSFT,USDEUR=X,AMC,BA,BTC-USD,EURUSD=X,GC=F,MSFT,USDEUR=X,AMC,BA,BTC-USD,EURUSD=X,GC=F,MSFT,USDEUR=X
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,167.64959716796875,108.40667724609375,383.614990234375,1.262833595275879,1214.5999755859375,39.387020111083984,0.7918699979782104,229.10000610351562,124.66999816894531,383.614990234375,1.262833595275879,1214.5999755859375,45.900001525878906,0.7918699979782104,230.6999969482422,127.37000274658203,391.3789978027344,1.2639987468719482,1217.800048828125,46.529998779296875,0.7945500016212463,227.60000610351562,124.30999755859375,380.7799987792969,1.2585740089416504,1205.5,45.849998474121094,0.7911400198936462,230.0,127.37000274658203,387.427001953125,1.2629133462905884,1207.699951171875,46.27000045776367,0.7918199896812439,27330.0,5265200.0,26229400,0.0,178.0,38088400.0,0.0
2014-10-02,169.77171325683594,107.97188568115234,375.0719909667969,1.2624191045761108,1214.199951171875,39.26688003540039,0.7921299934387207,232.0,124.16999816894531,375.0719909667969,1.2624191045761108,1214.199951171875,45.7599983215332,0.7921299934387207,232.60000610351562,125.55000305175781,385.49700927734375,1.2690500020980835,1219.5,46.099998474121094,0.7926380038261414,224.5,123.83999633789062,372.9460144042969,1.2616099119186401,1210.300048828125,45.63999938964844,0.7879909873008728,228.60000610351562,124.4000015258789,383.9880065917969,1.2624987363815308,1215.300048828125,45.83000183105469,0.7920799851417542,24310.0,3204500.0,21777700,0.0,176.0,25119400.0,0.0
2014-10-03,171.30844116210938,109.87619018554688,359.5119934082031,1.2670577764511108,1192.199951171875,39.550071716308594,0.7892299890518188,234.10000610351562,126.36000061035156,359.5119934082031,1.2670577764511108,1192.199951171875,46.09000015258789,0.7892299890518188,235.60000610351562,126.87000274658203,377.69500732421875,1.266993522644043,1212.4000244140625,46.29999923706055,0.7998980283737183,231.0,124.66000366210938,357.8590087890625,1.2501593828201294,1191.0,45.61000061035156,0.7892699837684631,233.60000610351562,124.66000366210938,375.1809997558594,1.266993522644043,1212.4000244140625,45.97999954223633,0.7892699837684631,5770.0,3075900.0,30901200,0.0,499.0,32453200.0,0.0
2014-10-04,,,328.8659973144531,,,,,,,328.8659973144531,,,,,,,364.48699951171875,,,,,,,325.885986328125,,,,,,,359.8919982910156,,,,,,,47236500,,,,
2014-10-05,,,320.510009765625,,,,,,,320.510009765625,,,,,,,341.8009948730469,,,,,,,289.2959899902344,,,,,,,328.9159851074219,,,,,,,83308096,,,,
2014-10-06,169.91806030273438,109.78926086425781,330.0790100097656,1.2513607740402222,1206.699951171875,39.550071716308594,0.7991300225257874,232.1999969482422,126.26000213623047,330.0790100097656,1.2513607740402222,1206.699951171875,46.09000015258789,0.7991300225257874,236.0,127.19000244140625,345.1340026855469,1.2593204975128174,1208.0,46.29999923706055,0.7990400195121765,232.10000610351562,125.37999725341797,302.55999755859375,1.2515017986297607,1182.800048828125,45.91999816894531,0.7940790057182312,234.1999969482422,127.08999633789062,320.3890075683594,1.2515017986297607,1187.699951171875,46.119998931884766,0.7990400195121765,5770.0,2681000.0,79011800,0.0,415.0,20604000.0,0.0
2014-10-07,164.42974853515625,107.23277282714844,336.18701171875,1.264606237411499,1211.699951171875,39.06951904296875,0.7907599806785583,224.6999969482422,123.31999969482422,336.18701171875,1.264606237411499,1211.699951171875,45.529998779296875,0.7907599806785583,233.10000610351562,125.5199966430664,339.24700927734375,1.266430377960205,1211.699951171875,45.93000030517578,0.7946159839630127,224.5,123.29000091552734,320.48199462890625,1.258469581604004,1205.300048828125,45.41999816894531,0.7896209955215454,231.8000030517578,125.5199966430664,330.5840148925781,1.2643983364105225,1209.0999755859375,45.86000061035156,0.7908899784088135,11330.0,3554900.0,49199900,0.0,272.0,25723700.0,0.0
2014-10-08,165.5274200439453,108.67623138427734,352.94000244140625,1.266800880432129,1205.300048828125,40.142173767089844,0.7893900275230408,226.1999969482422,124.9800033569336,352.94000244140625,1.266800880432129,1205.300048828125,46.779998779296875,0.7893900275230408,226.89999389648438,125.08999633789062,354.364013671875,1.2690999507904053,1217.9000244140625,46.88999938964844,0.7921109795570374,217.60000610351562,122.1500015258789,327.18798828125,1.2624493837356567,1205.300048828125,45.34000015258789,0.7879599928855896,223.89999389648438,123.47000122070312,336.1159973144531,1.266800880432129,1210.199951171875,45.47999954223633,0.7893900275230408,10020.0,3610300.0,54736300,0.0,9.0,33031000.0,0.0
