Date,AMC,BA,BTC-USD,EURUSD=X,GC=F,MSFT,USDEUR=X
2014-10-01,229.10000610351562,124.66999816894531,383.614990234375,1.262833595275879,1214.5999755859375,45.900001525878906,0.7918699979782104
2014-10-02,232.0,124.16999816894531,375.0719909667969,1.2624191045761108,1214.199951171875,45.7599983215332,0.7921299934387207
2014-10-03,234.10000610351562,126.36000061035156,359.5119934082031,1.2670577764511108,1192.199951171875,46.09000015258789,0.7892299890518188
2014-10-04,,,328.8659973144531,,,,
2014-10-05,,,320.510009765625,,,,
2014-10-06,232.1999969482422,126.26000213623047,330.0790100097656,1.2513607740402222,1206.699951171875,46.09000015258789,0.7991300225257874
2014-10-07,224.6999969482422,123.31999969482422,336.18701171875,1.264606237411499,1211.699951171875,45.529998779296875,0.7907599806785583
2014-10-08,226.1999969482422,124.9800033569336,352.94000244140625,1.266800880432129,1205.300048828125,46.779998779296875,0.7893900275230408
2014-10-09,223.0,122.76000213623047,365.0260009765625,1.2743074893951416,1224.5999755859375,45.849998474121094,0.7847399711608887
2014-10-10,217.60000610351562,121.5,361.56201171875,1.2689067125320435,1221.0,44.029998779296875,0.7880799770355225
2014-10-11,,,362.29901123046875,,,,
2014-10-12,,,378.54901123046875,,,,
2014-10-13,213.6999969482422,120.44999694824219,390.41400146484375,1.263982892036438,1229.300048828125,43.650001525878906,0.7911499738693237
2014-10-14,216.6999969482422,122.29000091552734,400.8699951171875,1.272394061088562,1233.5999755859375,43.72999954223633,0.7859200239181519
2014-10-15,220.39999389648438,120.19000244140625,394.77301025390625,1.2639029026031494,1244.0999755859375,43.220001220703125,0.7911999821662903
2014-10-16,227.89999389648438,120.29000091552734,382.5559997558594,1.2821663618087769,1240.5,42.7400016784668,0.7799299955368042
2014-10-17,222.0,123.23999786376953,383.75799560546875,1.280442476272583,1238.300048828125,43.630001068115234,0.7809799909591675
2014-10-18,,,391.4419860839844,,,,
2014-10-19,,,389.5459899902344,,,,
2014-10-20,222.60000610351562,124.30999755859375,382.8450012207031,1.274957299232483,1244.0,44.08000183105469,0.7843400239944458
2014-10-21,233.5,127.12000274658203,386.4750061035156,1.2795250415802002,1251.0,44.880001068115234,0.7815399765968323
2014-10-22,224.39999389648438,121.44999694824219,383.1579895019531,1.2714719772338867,1244.800048828125,44.380001068115234,0.7864900231361389
2014-10-23,230.1999969482422,122.02999877929688,358.4169921875,1.2641425132751465,1228.5,45.02000045776367,0.7910500168800354
2014-10-24,234.1999969482422,122.23999786376953,358.3450012207031,1.2654062509536743,1231.199951171875,46.130001068115234,0.7902600169181824
2014-10-25,,,347.27099609375,,,,
2014-10-26,,,354.7040100097656,,,,
2014-10-27,235.89999389648438,122.12000274658203,352.989013671875,1.2676681280136108,1229.0999755859375,45.90999984741211,0.7888500094413757
2014-10-28,244.0,123.61000061035156,357.6180114746094,1.270147681236267,1229.199951171875,46.4900016784668,0.787310004234314
2014-10-29,251.60000610351562,123.08000183105469,335.59100341796875,1.273836612701416,1224.300048828125,46.619998931884766,0.7850300073623657
2014-10-30,254.1999969482422,123.81999969482422,345.30499267578125,1.2632802724838257,1198.0999755859375,46.04999923706055,0.7915899753570557
2014-10-31,254.0,124.91000366210938,338.3210144042969,1.2613362073898315,1171.0999755859375,46.95000076293945,0.7928100228309631
2014-11-01,,,325.7489929199219,,,,
2014-11-02,,,325.8919982910156,,,,
2014-11-03,249.5,126.02999877929688,327.5539855957031,1.2503125667572021,1169.4000244140625,47.439998626708984,0.7997999787330627
2014-11-04,245.1999969482422,125.83999633789062,330.49200439453125,1.2495938539505005,1167.4000244140625,47.56999969482422,0.8002600073814392
2014-11-05,244.1999969482422,124.22000122070312,339.4859924316406,1.2552564144134521,1145.4000244140625,47.86000061035156,0.7966499924659729
2014-11-06,250.89999389648438,124.58000183105469,349.2900085449219,1.2480031251907349,1142.300048828125,48.70000076293945,0.8012800216674805
2014-11-07,257.20001220703125,124.44999694824219,342.4150085449219,1.238006830215454,1169.5999755859375,48.68000030517578,0.8077499866485596
2014-11-08,,,345.4880065917969,,,,
2014-11-09,,,363.2640075683594,,,,
2014-11-10,256.0,124.63999938964844,366.92401123046875,1.246137022972107,1159.5999755859375,48.88999938964844,0.8024799823760986
2014-11-11,258.5,125.36000061035156,367.69500732421875,1.242992639541626,1162.800048828125,48.869998931884766,0.8045099973678589
2014-11-12,258.20001220703125,125.87000274658203,423.5610046386719,1.2475829124450684,1158.9000244140625,48.779998779296875,0.8015499711036682
2014-11-13,256.29998779296875,128.52999877929688,420.7349853515625,1.242992639541626,1161.0999755859375,49.61000061035156,0.8045099973678589
2014-11-14,255.1999969482422,128.86000061035156,397.8179931640625,1.2475982904434204,1185.0,49.58000183105469,0.8015400171279907
2014-11-15,,,376.13299560546875,,,,
2014-11-16,,,387.8819885253906,,,,
2014-11-17,253.8000030517578,128.4199981689453,387.4079895019531,1.251846432685852,1183.0,49.459999084472656,0.7988200187683105
2014-11-18,257.1000061035156,130.66000366210938,375.197998046875,1.2448959350585938,1196.699951171875,48.7400016784668,0.8032799959182739
2014-11-19,256.6000061035156,131.61000061035156,380.55499267578125,1.253337025642395,1193.5999755859375,48.220001220703125,0.7978699803352356
2014-11-20,256.3999938964844,131.6999969482422,357.8399963378906,1.2540757656097412,1190.699951171875,48.70000076293945,0.7973999977111816
2014-11-21,250.3000030517578,132.77999877929688,350.8479919433594,1.2545005083084106,1197.5,47.97999954223633,0.7971299886703491
2014-11-22,,,352.9200134277344,,,,
2014-11-23,,,367.572998046875,,,,
